City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,taree,AU,289.88,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
568,nachod,CZ,288.54,scattered clouds,50.4167,16.1629,Hotel U Beránka
574,rio gallegos,AR,282.18,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
575,murray,US,289.12,clear sky,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
587,bay city,US,285.96,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
590,fortuna,US,287.0,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
594,yekaterinoslavka,RU,284.51,overcast clouds,50.3734,129.1139,Oktyabr'skaya
595,ketchikan,US,284.41,light rain,55.3422,-131.6461,Snow's Cove Lodge
596,constitucion,CL,287.5,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
602,estevan,CA,282.34,overcast clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
610,price,US,282.74,clear sky,39.5994,-110.8107,National 9 - Price River Inn
612,mandalgovi,MN,285.28,few clouds,45.7625,106.2708,В.Ганбат
616,rio grande,BR,289.21,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
621,mendi,PG,284.63,overcast clouds,-6.1761,143.6513,Kiburu Lodge
623,la paz,BO,286.14,broken clouds,-16.5,-68.15,Hotel Presidente
633,viedma,AR,285.44,overcast clouds,-40.8135,-62.9967,Hotel Cristal
635,havre-saint-pierre,CA,285.35,overcast clouds,50.2334,-63.5986,Auberge Niapiskau 2
636,waipawa,NZ,284.27,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
643,takaka,NZ,285.13,broken clouds,-40.85,172.8,Golden Bay Motels
645,vestmanna,FO,283.66,broken clouds,62.1564,-7.1664,Vestmanna Camping
649,campbell river,CA,288.96,overcast clouds,50.0163,-125.2446,Anchor Inn & Suites
650,saint-augustin,CA,289.52,overcast clouds,51.226,-58.6502,Riverview Inn
654,rodino,RU,287.94,broken clouds,52.5,80.25,Hotel
656,igrim,RU,280.43,overcast clouds,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
658,marau,BR,285.12,scattered clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
660,belleville,CA,282.59,broken clouds,44.1788,-77.3705,Ramada by Wyndham Belleville Harbourview Conference Centre
663,grants,US,284.28,mist,35.1473,-107.8514,"Motel 6 Grants, NM"
672,morristown,US,289.54,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
677,lincoln,US,286.64,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
679,helong,CN,280.08,overcast clouds,42.5397,128.9972,Helong Hotel
680,zamosc,PL,284.78,overcast clouds,50.7231,23.252,Hotel Renesans
